【一、接口用例（20 条｜Petstore）】
用例编号,模块,用例标题,类型,优先级,前置条件,主要步骤,预期结果,自动化实现,marker
TC-API-001,宠物管理,按 ID 查询已创建的宠物,正向,P1,前置 fixture 已创建宠物（id 随机）,1) `GET /pet/{id}` 2) 校验状态码与字段 3) jsonschema 结构校验,状态码 200；返回 `id`/`name`/`status` 与创建时一致；结构符合 schema,`tests/test_pet.py::test_get_pet_by_id`,api
TC-API-002,异常场景,查询不存在的宠物,反向,P2,无,1) 生成随机不存在 ID 2) `GET /pet/{id}`,返回 404（或 400）,`tests/test_pet.py::test_get_non_exist_pet`,"api, negative"
TC-API-003,宠物管理,创建宠物,正向,P1,无,1) `POST /pet` 2) 校验返回体 3) 清理数据,状态码 200；`id/name/status` 与请求一致；结构符合 schema,`tests/test_pet.py::test_create_pet`,api
TC-API-004,宠物管理,整体更新宠物（PUT）,正向,P1,已创建宠物,1) `PUT /pet` 修改 name/status 2) 再次 `GET` 校验,更新成功；再次查询可见新名称与新状态,`tests/test_pet.py::test_update_pet`,api
TC-API-005,宠物管理,删除宠物并验证不可再查,正向,P1,已创建宠物,1) `DELETE /pet/{id}` 2) 再次 `GET /pet/{id}`,删除返回 200；再次查询返回 404,`tests/test_pet.py::test_delete_pet`,api
TC-API-006,异常场景,删除不存在的宠物（幂等）,反向,P2,无,1) 随机不存在 ID 2) `DELETE /pet/{id}`,返回 404（或 400），不产生副作用,`tests/test_pet.py::test_delete_non_exist_pet`,"api, negative"
TC-API-007,状态查询,按状态 available 查询,参数化,P1,无,1) `GET /pet/findByStatus?status=available` 2) 校验列表项状态,状态码 200；返回列表且每项 `status=available`,`tests/test_pet.py::test_find_pets_by_status[available]`,api
TC-API-008,状态查询,按状态 pending 查询,参数化,P1,无,同上，status=pending,状态码 200；列表项 `status=pending`,`tests/test_pet.py::test_find_pets_by_status[pending]`,api
TC-API-009,状态查询,按状态 sold 查询,参数化,P1,无,同上，status=sold,状态码 200；列表项 `status=sold`,`tests/test_pet.py::test_find_pets_by_status[sold]`,api
TC-API-010,数据驱动,JSON 数据创建（available）,数据驱动,P1,数据文件 `test_data/pet_data.json`,1) 读取 JSON 用例 2) `POST /pet` 3) 校验 4) 清理,创建成功；`name/status` 与数据一致,`tests/test_pet_param.py::test_create_pet_from_json[json_dog_available]`,api
TC-API-011,数据驱动,JSON 数据创建（pending）,数据驱动,P1,同上,同上,同上,`tests/test_pet_param.py::test_create_pet_from_json[json_dog_pending]`,api
TC-API-012,数据驱动,JSON 数据创建（sold）,数据驱动,P1,同上,同上,同上,`tests/test_pet_param.py::test_create_pet_from_json[json_dog_sold]`,api
TC-API-013,边界数据,中文 + 表情符号名称往返一致,正向/边界,P1,无,1) 以 `测试宠物-🐶_v1` 创建 2) `GET` 回读,创建 200；回读名称与写入完全一致（编码正确）,`tests/test_pet_contract.py::test_create_pet_with_chinese_and_symbol_name_roundtrip`,api
TC-API-014,边界数据,超长名称（256 字符）创建与回读,正向/边界,P2,无,1) 以 256 字符名称创建 2) `GET` 回读,不 5xx；回读名称非空且长度合理（≥200）,`tests/test_pet_contract.py::test_create_pet_with_long_name`,api
TC-API-015,幂等与覆盖,同一 ID 重复创建以最后一次为准,正向/契约,P1,无,1) 同 ID 创建 name=first 2) 再创建 name=second 3) `GET`,第二次创建 200；回读名称为 `second_version`,`tests/test_pet_contract.py::test_create_same_id_twice_second_wins`,api
TC-API-016,幂等与覆盖,PUT 不存在 ID 的行为自洽性,契约,P2,无,1) `PUT /pet`（随机不存在 ID）2) 依返回码校验是否可查到,200 → 可查到且字段一致；404 → 查不到（行为自洽）,`tests/test_pet_contract.py::test_update_non_exist_pet_contract`,api
